Provider_N,Location,County,Address,City,State,Zip,MailingAdd,MailingCit,MailingSta,MailingZip,Email,Phone,LicenseCap,Operation_,Operatio_1,Hours_Open,Hours_Clos,Infant_0_T,Toddler_13,Preschool_,Pre_K_Serv,School_Age,Ages_Other,Accepts_Ch,Has_Evenin,Has_Drop_I,Has_School,Has_Transp,Has_Tran_1,Has_Cacfp,Accreditat,Program_Ty,Provider_T,Exemption_,Available_,Funded_Pre,QR_Partici,QR_Rated,QR_Rating,Region,addrstatus,addrtype,addrlocat
CCLC-9054,ABC Learning Academy,Fulton,5195-A Old National Hwy,College Park,GA,"30349",5195-A Old National Hwy,College Park,GA,"30349",abclearnacademy@aol.com,(404) 767-4480,"142",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NW,OK,ROOFTOP,"33.613654,-84.47329189999999"
CCLC-25418,ABC  Another Bright Creation,Douglas,4482 Highway 5,Douglasville,GA,"30135",4482 Highway 5,Douglasville,GA,"30135",abc_creation@bellsouth.net,(770) 489-5461,"142",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,19:00:00,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",CW,OK,ROOFTOP,"33.6822412,-84.8024843"
CCLC-10764,ABC  Another Bright Creation  Early Learning and Daycare Center,Fulton,409 Carlton Road,Palmetto,GA,"30268",409 Carlton Road,Palmetto,GA,"30268",abc_creation@bellsouth.net,(770) 463-6881,"185",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NW,OK,ROOFTOP,"33.5297347,-84.66487149999999"
CCLC-1576,Academy for Little People,Walker,6868 Lafayette Rd,Chickamauga,GA,"30707",6868 Lafayette Rd,Chickamauga,GA,"30707",armour@catt.com,(706) 375-7529,"229",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,TRUE,"1",NW,OK,ROOFTOP,"34.8911014,-85.26654769999999"
CCLC-1577,Academy for Little People/Trion,Chattooga,28 Tate Road,Trion,GA,"30753",28 Tate Road,Trion,GA,"30753",armour@catt.com,(706) 734-3022,"98",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NW,OK,ROOFTOP,"34.5397334,-85.3292615"
CCLC-3627,Academy of Smiles,Coweta,80 Cypress Drive,Newnan,GA,"30263",80 Cypress Drive,Newnan,GA,"30263",academyofsmiles@numail.org,(770) 253-2147,"75",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,CW,OK,ROOFTOP,"33.4054196,-84.8191772"
LSS-34752,Adairsville Elementary,Bartow,122 King St. NW,Adairsville,GA,"30103",118 N. Franklin Street,Adairsville,GA,"30103",melissa.zarefoss@bartow.k12.ga.us,(770) 606-5840,NA,JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"44","44",FALSE,FALSE,NA,NW,OK,ROOFTOP,"34.3701194,-84.9403044"
LSS-28605,Adairsville High School,Bartow,519 Old Hwy. 41,Adairsville,GA,"30103",519 Old Hwy. 41,Adairsville,GA,"30103",bruce.mulkey@bartow.k12.ga.us,(770) 606-5841,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"22","22",FALSE,FALSE,NA,NW,OK,ROOFTOP,"34.3391779,-84.917721"
CCLC-23963,Adams' Little Peoples Complete Daycare,Fayette,547 E. Lanier Ave.,Fayetteville,GA,"30214",547 E. Lanier Ave.,Fayetteville,GA,"30214",littlepeoples1@bellsouth.net,(770) 461-6613,"193",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",CW,OK,ROOFTOP,"33.4491075,-84.4438102"
CCLC-13339,Akers Academy (Alpharetta),Forsyth,830 Old Alpharetta Rd,Alpharetta,GA,"30005",830 Old Alpharetta Rd,Alpharetta,GA,"30005",lmitch05@yahoo.com,(770) 889-0788,"217",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NECPA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",NE,OK,ROOFTOP,"34.1060813,-84.1985215"
CCLC-1584,Akers Academy (Cumming),Forsyth,124 N. Corners Parkway,Cumming,GA,"30040",124 N. Corners Parkway,Cumming,GA,"30040",frankakers@akersacademy.com,(770) 888-4788,"171",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NECPA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",NE,OK,ROOFTOP,"34.2154431,-84.1529942"
CCLC-1587,Albany Technical Institute C. D. C.,Dougherty,2031 Newton Road,Albany,GA,31701-2648,2031 Newton Road,Albany,GA,31701-2648,vjones@albanytech.edu,(229) 430-3538,"126",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,07:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NAEYC,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",SW,OK,ROOFTOP,"31.5538273,-84.1705088"
LSS-38580,Alexander II Magnet School,Bibb,1156 College St.,Macon,GA,"31201",1156 College St.,Macon,GA,"31201",walsetta.miller@bcsdk12.net,(478) 729-2700,NA,JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,Local School System,LSS,NA,"22","22",FALSE,FALSE,NA,SW,OK,ROOFTOP,"32.8327474,-83.6449013"
CCLC-27390,Alice & Mary Wonderland Preschool Learning Center  LLC,Liberty,10408 East Oglethorpe Hwy.,Midway,GA,"31320",P. O. Box 1147,Midway,GA,"31320",alice_marywonderlandpreschool@yahoo.com,(912) 884-3556,"109",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,05:30:00,18:00:00,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",SE,OK,ROOFTOP,"31.8003244,-81.4359245"
CCLC-3322,All About Kids,Rockdale,2815 Hwy 212,Conyers,GA,"30094",2815 Hwy 212,Conyers,GA,"30094",aakchildcare2815@gmail.com,(770) 760-1454,"154",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"1",CE,OK,ROOFTOP,"33.616253,-84.0776659"
CCLC-32400,All Star Kids Academy,DeKalb,4518 Covington Hwy.,Decatur,GA,"30035",4518 Covington Hwy.,Decatur,GA,"30035",kggamble@aol.com,(404) 284-2327,"185",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,05:00:00,19:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",CE,OK,ROOFTOP,"33.74644,-84.2201809"
CCLC-1607,All Stars Academy and Early Learning Center,Coweta,2493 East Highway 34,Newnan,GA,"30265",2493 East Highway 34,Newnan,GA,"30265",tina.anderson@allstarsacademy.net,(770) 252-5252,"213",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"88","88",TRUE,FALSE,NA,CW,OK,ROOFTOP,"33.4051666,-84.7006466"
LSS-28752,Allatoona Elementary,Bartow,4150 New Hope Church Rd.,Acworth,GA,"30102",4150 New Hope Church Rd.,Acworth,GA,"30102",jim.bishop@bartow.k12.ga.us,(770) 606-5843,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"22","22",FALSE,FALSE,NA,NW,OK,ROOFTOP,"34.1173729,-84.66969279999999"
LSS-1269,Allgood Elementary,DeKalb,659 Allgood Rd.,Stone Mountain,GA,30083-4576,659 Allgood Rd.,Stone Mountain,GA,30083-4576,william_j_carter@dekalbschoolsga.org,(678) 676-5102,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"44","44",FALSE,FALSE,NA,CE,OK,ROOFTOP,"33.7803648,-84.2122141"
CCLC-2208,Alma's Baby World Developmental Day Care Center,Dougherty,1338 Mobile Avenue,Albany,GA,"31705",1338 Mobile Avenue,Albany,GA,"31705",jeannenob@yahoo.com,(229) 436-6167,"105",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"1",SW,OK,ROOFTOP,"31.553161,-84.123802"
CCLC-1608,Alpha Academy and Child Care Center,DeKalb,4138 Snapfinger Woods Dr.,Decatur,GA,"30035",4138 Snapfinger Woods Dr.,Decatur,GA,"30035",mesw827@bellsouth.net,(404) 288-7992,"115",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",CE,OK,ROOFTOP,"33.7151592,-84.2211676"
CCLC-33136,Alpha Preparatory Academy,Gwinnett,4462 Mink Livsey Rd,Snellville,GA,"30039",4462 Mink Livsey Rd,Snellville,GA,"30039",alphaprepacademy@gmail.com,(470) 395-0767,"58",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR SA,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,GAC,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NE,OK,ROOFTOP,"33.7840463,-84.0120948"
CCLC-37559,Alpha Preparatory Academy II,Gwinnett,350 W. Peachtree St,Norcross,GA,"30071",4462 Mink Livsey Road,Snellville,GA,"30039",alphaprepacademy@gmail.com,(470) 395-0767,"156",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,TRUE,"2",NE,OK,ROOFTOP,"33.9395343,-84.2182461"
